"2020-09-25 11:25:02 ERROR o.s.c.logging.LoggingRebinder - Cannot set level: = DEBUG for 'com.mindtree'
""2020-09-25 11:25:02 INFO  c.m.o.OrderServiceApplication - The following profiles are active: prod
""2020-09-25 11:25:03 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
""2020-09-25 11:25:03 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 69ms. Found 3 JPA repository interfaces.
""2020-09-25 11:25:03 INFO  o.s.c.context.scope.GenericScope - BeanFactory id=954a3d38-f70b-36b1-bb93-59b719c8de49
""2020-09-25 11:25:03 INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'com.mindtree.order.proxy.SearchProxy' of type [org.springframework.cloud.openfeign.FeignClientFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
""2020-09-25 11:25:04 INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8084 (http)
""2020-09-25 11:25:04 INFO  o.a.c.core.StandardService - Starting service [Tomcat]
""2020-09-25 11:25:04 INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.38]
""2020-09-25 11:25:04 INFO  o.a.c.c.C.[.[localhost].[/] - Initializing Spring embedded WebApplicationContext
""2020-09-25 11:25:04 INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1810 ms
""2020-09-25 11:25:05 INFO  c.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
""2020-09-25 11:25:11 INFO  c.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
""2020-09-25 11:25:16 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
""2020-09-25 11:25:16 INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
""2020-09-25 11:25:16 WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
""2020-09-25 11:25:16 DEBUG o.s.w.s.m.m.a.RequestMappingHandlerMapping - 8 mappings in 'requestMappingHandlerMapping'
""2020-09-25 11:25:17 INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
""2020-09-25 11:25:17 WARN  c.n.c.s.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
""2020-09-25 11:25:17 INFO  c.n.c.s.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
""2020-09-25 11:25:17 WARN  c.n.c.s.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
""2020-09-25 11:25:17 INFO  c.n.c.s.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
""2020-09-25 11:25:17 INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
""2020-09-25 11:25:17 DEBUG o.s.w.s.m.m.a.RequestMappingHandlerAdapter - ControllerAdvice beans: 0 @ModelAttribute, 0 @InitBinder, 1 RequestBodyAdvice, 1 ResponseBodyAdvice
""2020-09-25 11:25:17 DEBUG o.s.w.s.h.SimpleUrlHandlerMapping - Patterns [/webjars/**, /**] in 'resourceHandlerMapping'
""2020-09-25 11:25:17 DEBUG o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - ControllerAdvice beans: 1 @ExceptionHandler, 1 ResponseBodyAdvice
""2020-09-25 11:25:18 INFO  o.s.c.n.e.c.DiscoveryClientOptionalArgsConfiguration - Eureka HTTP Client uses Jersey
""2020-09-25 11:25:18 WARN  o.s.c.l.c.BlockingLoadBalancerClientAutoConfiguration$BlockingLoadBalancerClientRibbonWarnLogger - You already have RibbonLoadBalancerClient on your classpath. It will be used by default. As Spring Cloud Ribbon is in maintenance mode. We recommend switching to BlockingLoadBalancerClient instead. In order to use it, set the value of `spring.cloud.loadbalancer.ribbon.enabled` to `false` or remove spring-cloud-starter-netflix-ribbon from your project.
""2020-09-25 11:25:18 INFO  o.s.c.n.e.InstanceInfoFactory - Setting initial instance status as: STARTING
""2020-09-25 11:25:18 INFO  c.n.discovery.DiscoveryClient - Initializing Eureka in region us-east-1
""2020-09-25 11:25:18 INFO  c.n.d.p.DiscoveryJerseyProvider - Using JSON encoding codec LegacyJacksonJson
""2020-09-25 11:25:18 INFO  c.n.d.p.DiscoveryJerseyProvider - Using JSON decoding codec LegacyJacksonJson
""2020-09-25 11:25:19 INFO  c.n.d.p.DiscoveryJerseyProvider - Using XML encoding codec XStreamXml
""2020-09-25 11:25:19 INFO  c.n.d.p.DiscoveryJerseyProvider - Using XML decoding codec XStreamXml
""2020-09-25 11:25:19 INFO  c.n.d.s.r.a.ConfigClusterResolver - Resolving eureka endpoints via configuration
""2020-09-25 11:25:19 INFO  c.n.discovery.DiscoveryClient - Disable delta property : false
""2020-09-25 11:25:19 INFO  c.n.discovery.DiscoveryClient - Single vip registry refresh property : null
""2020-09-25 11:25:19 INFO  c.n.discovery.DiscoveryClient - Force full registry fetch : false
""2020-09-25 11:25:19 INFO  c.n.discovery.DiscoveryClient - Application is null : false
""2020-09-25 11:25:19 INFO  c.n.discovery.DiscoveryClient - Registered Applications size is zero : true
""2020-09-25 11:25:19 INFO  c.n.discovery.DiscoveryClient - Application version is -1: true
""2020-09-25 11:25:19 INFO  c.n.discovery.DiscoveryClient - Getting all instance registry info from the eureka server
""2020-09-25 11:25:19 INFO  c.n.discovery.DiscoveryClient - The response status is 200
""2020-09-25 11:25:19 INFO  c.n.discovery.DiscoveryClient - Starting heartbeat executor: renew interval is: 30
""2020-09-25 11:25:19 INFO  c.n.d.InstanceInfoReplicator - InstanceInfoReplicator onDemand update allowed rate per min is 4
""2020-09-25 11:25:19 INFO  c.n.discovery.DiscoveryClient - Discovery Client initialized at timestamp 1601013319775 with initial instances count: 0
""2020-09-25 11:25:19 INFO  o.s.c.n.e.s.EurekaServiceRegistry - Registering application ORDERSERVICE with eureka with status UP
""2020-09-25 11:25:19 INFO  c.n.discovery.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1601013319778, current=UP, previous=STARTING]
""2020-09-25 11:25:19 INFO  c.n.discovery.DiscoveryClient - DiscoveryClient_ORDERSERVICE/MT-7JZHRT2:orderservice:8084: registering service...
""2020-09-25 11:25:19 INFO  o.a.k.c.consumer.ConsumerConfig - ConsumerConfig values: 
	allow.auto.create.topics = true
	auto.commit.interval.ms = 5000
	auto.offset.reset = latest
	bootstrap.servers = [localhost:9092]
	check.crcs = true
	client.dns.lookup = default
	client.id = 
	client.rack = 
	connections.max.idle.ms = 540000
	default.api.timeout.ms = 60000
	enable.auto.commit = false
	exclude.internal.topics = true
	fetch.max.bytes = 52428800
	fetch.max.wait.ms = 500
	fetch.min.bytes = 1
	group.id = group_id
	group.instance.id = null
	heartbeat.interval.ms = 3000
	interceptor.classes = []
	internal.leave.group.on.close = true
	isolation.level = read_uncommitted
	key.deserializer = class org.apache.kafka.common.serialization.StringDeserializer
	max.partition.fetch.bytes = 1048576
	max.poll.interval.ms = 300000
	max.poll.records = 500
	metadata.max.age.ms = 300000
	metric.reporters = []
	metrics.num.samples = 2
	metrics.recording.level = INFO
	metrics.sample.window.ms = 30000
	partition.assignment.strategy = [class org.apache.kafka.clients.consumer.RangeAssignor]
	receive.buffer.bytes = 65536
	reconnect.backoff.max.ms = 1000
	reconnect.backoff.ms = 50
	request.timeout.ms = 30000
	retry.backoff.ms = 100
	sasl.client.callback.handler.class = null
	sasl.jaas.config = null
	sasl.kerberos.kinit.cmd = /usr/bin/kinit
	sasl.kerberos.min.time.before.relogin = 60000
	sasl.kerberos.service.name = null
	sasl.kerberos.ticket.renew.jitter = 0.05
	sasl.kerberos.ticket.renew.window.factor = 0.8
	sasl.login.callback.handler.class = null
	sasl.login.class = null
	sasl.login.refresh.buffer.seconds = 300
	sasl.login.refresh.min.period.seconds = 60
	sasl.login.refresh.window.factor = 0.8
	sasl.login.refresh.window.jitter = 0.05
	sasl.mechanism = GSSAPI
	security.protocol = PLAINTEXT
	send.buffer.bytes = 131072
	session.timeout.ms = 10000
	ssl.cipher.suites = null
	ssl.enabled.protocols = [TLSv1.2, TLSv1.1, TLSv1]
	ssl.endpoint.identification.algorithm = https
	ssl.key.password = null
	ssl.keymanager.algorithm = SunX509
	ssl.keystore.location = null
	ssl.keystore.password = null
	ssl.keystore.type = JKS
	ssl.protocol = TLS
	ssl.provider = null
	ssl.secure.random.implementation = null
	ssl.trustmanager.algorithm = PKIX
	ssl.truststore.location = null
	ssl.truststore.password = null
	ssl.truststore.type = JKS
	value.deserializer = class org.apache.kafka.common.serialization.StringDeserializer

""2020-09-25 11:25:19 INFO  c.n.discovery.DiscoveryClient - DiscoveryClient_ORDERSERVICE/MT-7JZHRT2:orderservice:8084 - registration status: 204
""2020-09-25 11:25:19 INFO  o.a.k.common.utils.AppInfoParser - Kafka version: 2.3.1
""2020-09-25 11:25:19 INFO  o.a.k.common.utils.AppInfoParser - Kafka commitId: 18a913733fb71c01
""2020-09-25 11:25:19 INFO  o.a.k.common.utils.AppInfoParser - Kafka startTimeMs: 1601013319902
""2020-09-25 11:25:19 INFO  o.a.k.c.consumer.KafkaConsumer - [Consumer clientId=consumer-1, groupId=group_id] Subscribed to topic(s): addToCart
""2020-09-25 11:25:19 INFO  o.s.s.c.ThreadPoolTaskScheduler - Initializing ExecutorService
""2020-09-25 11:25:19 INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Context refreshed
""2020-09-25 11:25:19 INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
""2020-09-25 11:25:19 INFO  s.d.s.w.s.ApiListingReferenceScanner - Scanning for api listing references
